"#";"RefDes";"Value";"Name"
"1";"BAT1";"";"CR2032_HOLDER"
"2";"C1, C3, C4, C7";"100nF";"CAP_0603"
"3";"C2";"4.7uF";"CAP_0603"
"4";"C5";"10nF";"CAP_0603"
"5";"C6";"1uF";"CAP_0603"
"6";"C8, C9";"12pF";"CAP_0603"
"7";"C10, C11";"15pF";"CAP_0603"
"8";"C101";"4.7 uF";"CAP_0805"
"9";"C102";"10 uF";"CAP_0805"
"10";"C201";"470n*50V";"CAP_0805"
"11";"C301";"0.1uF_250V*";"CAP_Ê73-17_0.1uF_250V"
"12";"C401";"0.15uF";"CAP_0603"
"13";"C501";"0.1u";"CAP_0603"
"14";"C502";"0.47u";"CAP_0603"
"15";"C503";"33nF";"CAP_0603"
"16";"C601";"10uF";"CAP_0603"
"17";"D1, D101, D102, D401, D501";"";"LED-0805"
"18";"D201";"";"1N4148W"
"19";"D202";"";"B10S"
"20";"D301";"";"BT139-600E"
"21";"J1";"";"IDC2X5M"
"22";"L101";"2.2 uH";"IND_1210"
"23";"Q201";"";"BC847B"
"24";"Q301";"";"BC857B"
"25";"Q302";"";"BC848B"
"26";"R1, R101, R102, R409, R502";"1k";"RES_0603"
"27";"R2, R3, R4, R5, R6";"0";"RES_0603"
"28";"R7, R201, R407, R412, R413, R501, R505, R506";"10k";"RES_0603"
"29";"R8, R9";"0*";"RES_0603"
"30";"R10";"620";"RES_0603"
"31";"R202, R205";"510k";"RES_1206"
"32";"R203";"270";"RES_0603"
"33";"R204, R401, R403, R404, R405, R408, R410, R503";"100k";"RES_0603"
"34";"R206";"4.3k";"RES_0805"
"35";"R301";"270";"RES_0805"
"36";"R302";"100_1W*";"RES_C1_4_1"
"37";"R303";"";"B72214-S251-K101*"
"38";"R304";"360";"RES_1206"
"39";"R305";"360*";"RES_1206"
"40";"R402";"1600";"RES_0603"
"41";"R406";"33k";"RES_0603"
"42";"R411, R504";"8.2k";"RES_0603"
"43";"R601";"3.3k";"RES_0603"
"44";"U1";"";"HM-11"
"45";"U2";"";"STM32F103C8T"
"46";"U101";"";"LM3671MF-3.3/NOPB"
"47";"U301, U302";"";"SN74LVC1G08"
"48";"U401, U402, U502";"";"TS922IDT"
"49";"U403";"";"KTY81/120"
"50";"U404, U503";"";"CD4013BM"
"51";"U405, U504";"";"LM393D"
"52";"U501";"";"ACS712"
"53";"U601";"";"TSOP4838"
"54";"VO201";"";"LTV-817S-TA1-C (PC817)"
"55";"VO301";"";"MOC3052"
"56";"XS1, XS2, XS3";"";"301-021-12"
"57";"Y1";"32.768kHz";"FC-135"
"58";"Y2";"";"NX2520SA_16MHz"
